Model,Color,Year,Form Factor,Screen Size,Processor,Memory,Storage,Working Status,Estimated Value,Condition,Acquired As,Physical Damage,Activation Lock,Original Box,Warranty,Year Acquired,Comments
"MacBook Pro (Retina, Thunderbolt)",Space Gray,2016,Notebook,15,Intel Core i7,16GB,512GB SSD,Working,1100,Excellent,New,No,No,Yes,Expired,2016,
"MacBook Pro (Retina, Thunderbolt)",Space Gray,2019,Notebook,16,Intel Core i9,16GB,1TB SSD,Working,2300,Excellent,New,No,No,Yes,AppleCare+,2019,
MacBook Pro (Apple Silicon),Space Gray,2021,Notebook,16,Apple M1 Max,32GB,2TB SSD,Working,3899,Excellent,New,No,No,Yes,AppleCare+,2021,
Mac mini (Intel),Silver,Early 2006,Desktop,,Intel Core 2 Duo,Unknown ,Unknown,Working,50,Good,Used,No,No,No,Expired,2019,Processor upgraded
Mac mini (Intel),Silver,Mid 2007,Desktop,,Intel Core 2 Duo,1GB,80GB,Working,175,New,Unopened,No,No,Yes,Expired,2021,
Mac mini (Intel),Space Gray,2018,Desktop,,Intel Core i3,8GB,128GB SSD,Working,680,Excellent ,New,No,No,Yes,Expired,2020,
iMac (Intel),Silver,Early 2009,All-in-one,20,Intel Core 2 Duo,Unknown,320GB,Working,75,Excellent,Used,No,No,Yes,Expired,2012,Located in storage
iMac Pro,Space Gray,2017,All-in-one,27,Intel Xeon W,32GB,1TB SSD,Working,3000,Excellent,New,No,No,Yes,Expired,2018,
Macintosh Portable,Platinum,1989,Notebook,9.8,Motorola 68000,Unknown,Unknown,Not Working,450,Excellent,Used,No,No,No,Expired,2021,"Unable to power on, includes original case and manuals"
Macintosh Classic,Platinum,1990,All-in-one,9,Motorola 68000,Unknown ,Unknown,Working,150,Good,Used,No,No,No,Expired,2013,Located in storage
iBook G3 (clamshell),Tangerine,1999,Notebook,12,PowerPC G3,Unknown ,3GB,Working,300,Good,Used,No,No,No,Expired,2020,
iBook G3 (clamshell),Graphite,1999,Notebook,12,PowerPC G3,Unknown ,6GB,Working,300,Good,Used,No,No,No,Expired,2015,
iBook G3 (clamshell),Indigo,2000,Notebook,12,PowerPC G3,64MB,10GB,Working,350,Good,Used,No,No,No,Expired,2013,
iBook G3 (clamshell),Key Lime,2000,Notebook,12,PowerPC G3,128MB,20GB,Working,750,Good,Used,No,No,No,Expired,2020,
iBook G3,White,2001,Notebook,12,PowerPC G3,Unknown ,Unknown ,Not Working,15,Good,Used,No,No,No,Expired,2012,"Display issues, logic board issues"
iBook G3,White,2001,Notebook,12,PowerPC G3,Unknown ,None,Not Working,15,Good,Used,No,No,No,Expired,2012,"Display issues, logic board issues"
iBook G3,White,2001,Notebook,12,PowerPC G3,Unknown ,None,Not Working,15,Good,Used,No,No,No,Expired,2013,Display backlight issues
iBook G3,White,2003,Notebook,12,PowerPC G3,Unknown ,Unknown ,Working,30,Good,Used,No,No,No,Expired,2018,
iBook G4,White,2004,Notebook,12,PowerPC G4,Unknown ,Unknown ,Working,30,Fair,Used,Yes,No,No,Expired,2013,Display bezel bulging
iBook G4,White,2004,Notebook,14,PowerPC G4,Unknown ,Unknown ,Working,40,Excellent,Used,No,No,No,Expired,2017,
iBook G4,White,2005,Notebook,14,PowerPC G4,Unknown ,Unknown ,Working,40,Excellent,Used,No,No,No,Expired,2019,
PowerBook 3400c,Gray,1997,Notebook,12,PowerPC 600,Unknown,Unknown,Working,100,Excellent,Used,No,No,No,Expired,2020,
PowerBook G3,Black,1998,Notebook,13,PowerPC G3,Unknown,4GB,Working,100,Good,Used,No,No,No,Expired,2020,
